sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement,history,source
202,AS/DIM/83G4/2015/62,Assam,,,,25.186,93.104,,,,uploaded landslide_report.pdf
203,ASM/DH/83G4/2016/21,Assam,,,,21.0,93.120556,,,,uploaded landslide_report.pdf
204,AS/DIM/83G4/2015/63,Assam,,,,25.188,93.066,,,,uploaded landslide_report.pdf
205,ASM/DH/83G4/2016/41,Assam,,,,25.188444,93.019667,,,,uploaded landslide_report.pdf
206,AS/DIM/83G4/2015/37,Assam,,,,25.189,93.192,,,,uploaded landslide_report.pdf
207,AS/DIM/83G4/2015/38,Assam,,,,25.189,93.226,,,,uploaded landslide_report.pdf
208,ASM/DH/83G4/2016/53,Assam,,,,25.189556,93.096417,,,,uploaded landslide_report.pdf
209,AS/DIM/83G4/2015/40,Assam,,,,25.19,93.191,,,,uploaded landslide_report.pdf
210,AS/DIH/83G08/2020/34,Assam,,,,25.19,93.3,,,,uploaded landslide_report.pdf
211,AS/DIH/83G08/2020/40,Assam,,,,25.19,93.3,,,,uploaded landslide_report.pdf
212,AS/DIH/83G08/2020/44,Assam,,,,25.19,93.3,,,,uploaded landslide_report.pdf
213,AS/DIM/83G4/2015/39,Assam,,,,25.191,93.192,,,,uploaded landslide_report.pdf
214,ASM/DH/83G4/2016/22,Assam,,,,22.0,93.120417,,,,uploaded landslide_report.pdf
215,ASM/DH/83G4/2016/40,Assam,,,,25.196694,93.018583,,,,uploaded landslide_report.pdf
216,ASM/DH/83G4/2016/39,Assam,,,,25.199722,93.016722,,,,uploaded landslide_report.pdf
217,AS/DIH/83G08/2020/1,Assam,,,,25.2,93.25,,,,uploaded landslide_report.pdf
218,AS/DIH/83G08/2020/43,Assam,,,,25.2,93.25,,,,uploaded landslide_report.pdf
219,AS/DIM/83G4/2015/50,Assam,,,,25.201,93.122,,,,uploaded landslide_report.pdf
220,AS/DIM/83G4/2015/48,Assam,,,,25.204,93.059,,,,uploaded landslide_report.pdf
221,ASM/DH/83G4/2016/54,Assam,,,,25.204556,93.138889,,,,uploaded landslide_report.pdf
222,AS/DIM/83G4/2015/46,Assam,,,,25.205,93.059,,,,uploaded landslide_report.pdf
223,AS/DIM/83G4/2015/47,Assam,,,,25.205,93.008,,,,uploaded landslide_report.pdf
224,ASM/DH/83G4/2016/07,Assam,,,,25.205528,93.020139,,,,uploaded landslide_report.pdf
225,AS/DIM/83G4/2015/53,Assam,,,,25.206,93.126,,,,uploaded landslide_report.pdf
226,ASM/DH/83G4/2016/03,Assam,,,,25.207389,93.122778,,,,uploaded landslide_report.pdf
227,AS/DIM/83G4/2015/51,Assam,,,,25.208,93.121,,,,uploaded landslide_report.pdf
228,AS/DIH/83G08/2020/12,Assam,,,,25.21,93.25,,,,uploaded landslide_report.pdf
229,AS/DIH/83G08/2020/25,Assam,,,,25.0,93.31,,,,uploaded landslide_report.pdf
230,AS/DIH/83G08/2020/27,Assam,,,,27.0,93.31,,,,uploaded landslide_report.pdf
231,ASM/DH/83G4/2016/36,Assam,,,,25.214944,93.021611,,,,uploaded landslide_report.pdf
232,AS/DIM/83C16/2017/05,Assam,,,,25.216881,92.982245,,,,uploaded landslide_report.pdf
233,ASM/DH/83G4/2016/38,Assam,,,,25.216944,93.011361,,,,uploaded landslide_report.pdf
234,ASM/DH/83G4/2016/37,Assam,,,,25.2185,93.013111,,,,uploaded landslide_report.pdf
235,AS/DIH/83G08/2020/2,Assam,,,,25.22,93.29,,,,uploaded landslide_report.pdf
236,AS/DIH/83G08/2020/7,Assam,,,,25.22,93.29,,,,uploaded landslide_report.pdf
237,AS/DIH/83G08/2020/9,Assam,,,,25.22,93.34,,,,uploaded landslide_report.pdf
238,AS/DIH/83G08/2020/10,Assam,,,,25.22,93.34,,,,uploaded landslide_report.pdf
239,AS/DIH/83G08/2020/13,Assam,,,,25.22,93.35,,,,uploaded landslide_report.pdf
240,AS/DIH/83G08/2020/24,Assam,,,,24.0,93.32,,,,uploaded landslide_report.pdf
241,AS/DIH/83G08/2020/47,Assam,,,,25.22,93.29,,,,uploaded landslide_report.pdf
242,AS/DH/83G04/2018/003,Assam,,,,25.224278,93.222861,,,,uploaded landslide_report.pdf
243,AS/NC/83G04/2009-10/AS-6,Assam,,,,25.229556,93.1556,,,,uploaded landslide_report.pdf
244,AS/DIH/83G08/2020/28,Assam,,,,28.0,93.34,,,,uploaded landslide_report.pdf
245,AS/DIH/83G08/2020/45,Assam,,,,25.23,93.29,,,,uploaded landslide_report.pdf
246,AS/DIM/83C16/2018/26,Assam,,,,26.0,92.801279,,,,uploaded landslide_report.pdf
247,AS/DIH/83G08/2020/4,Assam,,,,25.24,93.28,,,,uploaded landslide_report.pdf
248,AS/DIH/83G08/2020/5,Assam,,,,25.24,93.27,,,,uploaded landslide_report.pdf
249,AS/DIH/83G08/2020/6,Assam,,,,25.24,93.27,,,,uploaded landslide_report.pdf
250,AS/DIM/83G4/2015/52,Assam,,,,25.242,93.14,,,,uploaded landslide_report.pdf
251,ASM/DIM/83C15/2017/03,Assam,,,,25.257696,92.809603,,,,uploaded landslide_report.pdf
252,AS/DIM/83G07/2017/65,Assam,,,,25.263528,93.390611,,,,uploaded landslide_report.pdf
253,AS/DIM/83G07/2017/66,Assam,,,,25.264056,93.409528,,,,uploaded landslide_report.pdf
254,AS/DIM/83G07/2017/27,Assam,,,,27.0,93.252972,,,,uploaded landslide_report.pdf
255,AS/DIM/83G07/2017/28,Assam,,,,28.0,93.253194,,,,uploaded landslide_report.pdf
256,AS/DIM/83G07/2017/29,Assam,,,,29.0,93.296111,,,,uploaded landslide_report.pdf
257,ASM/DIM/83C15/2017/04,Assam,,,,25.290089,92.799175,,,,uploaded landslide_report.pdf
258,AS/DIM/83G07/2017/5,Assam,,,,25.308028,93.471028,,,,uploaded landslide_report.pdf
259,AS/DIM/83G7/2017/6,Assam,,,,25.309111,93.470694,,,,uploaded landslide_report.pdf
260,ASM/DIM/83C15/2017/06,Assam,,,,25.320232,92.818091,,,,uploaded landslide_report.pdf
261,ASM/DIM/83C15/2017/05,Assam,,,,25.323731,92.80751,,,,uploaded landslide_report.pdf
262,AS/DIM/83G07/2017/64,Assam,,,,25.328139,93.334056,,,,uploaded landslide_report.pdf
263,AS/DIM/83G07/2017/63,Assam,,,,25.332083,93.334639,,,,uploaded landslide_report.pdf
264,ASM/DIM/83C15/2017/10,Assam,,,,25.336054,92.82053,,,,uploaded landslide_report.pdf
265,AS/DIM/83G07/2017/19,Assam,,,,25.362583,93.257722,,,,uploaded landslide_report.pdf
266,AS/DIM/83G07/2017/20,Assam,,,,20.0,93.260306,,,,uploaded landslide_report.pdf
267,AS/DIM/83G4/2015/23,Assam,,,,23.0,93.12,,,,uploaded landslide_report.pdf
268,AS/DIM/83G07/2017/44,Assam,,,,25.394111,93.410417,,,,uploaded landslide_report.pdf
269,ASM/DIM/83C15/2017/14,Assam,,,,25.395431,92.990267,,,,uploaded landslide_report.pdf
270,AS/DIM/83G07/2017/30,Assam,,,,30.0,93.297528,,,,uploaded landslide_report.pdf
